Lec,False,5505,ACCT,201,PRIN OF ACCOUNTING 1,3,T R,1100 - 1215 pm,Morgan S,1330 (MAIN),14-JAN-13,3,FULL TERM (14-JAN-13 - 10-MAY-13),Main
E-C,False,5532,ACCT,201,PRIN OF ACCOUNTING 1,3,,*,Smith S,,14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
Lec,False,5578,ACCT,201,PRIN OF ACCOUNTING 1,3,T R,0930 - 1045 am,Dexter H,2215 (MAIN),14-JAN-13,6,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5588,ACCT,201,PRIN OF ACCOUNTING 1,3,T R,1230 - 0145 pm,Dexter H,2215 (MAIN),14-JAN-13,1,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5533,ACCT,202,PRIN OF ACCOUNTING 2,3,M W,0930 - 1045 am,Smith S,2215 (MAIN),14-JAN-13,2,FULL TERM (14-JAN-13 - 10-MAY-13),Main
E-C,False,5534,ACCT,202,PRIN OF ACCOUNTING 2,3,,*,Smith S,,14-JAN-13,3,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
Lec,False,5606,ACCT,202,PRIN OF ACCOUNTING 2,3,R,0400 - 0645 pm,DePergola J,2215 (MAIN),14-JAN-13,4,FULL TERM (14-JAN-13 - 10-MAY-13),Main
E-C,False,5515,ACCT,310,ACCT INFORMATION SYSTEMS,3,,*,Thomas C,,14-JAN-13,1,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5516,ACCT,310,ACCT INFORMATION SYSTEMS,3,,*,Thomas C,,14-JAN-13,7,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
Lec,False,5462,ACCT,311,INTERMEDIATE ACCOUNTING 1,4,M W,0900 - 1040 am,Lewis C,2539 (MAIN),14-JAN-13,11,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5463,ACCT,312,INTERMEDIATE ACCOUNTING 2,4,M,0600 - 0945 pm,Lewis C,2539 (MAIN),14-JAN-13,12,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5473,ACCT,312,INTERMEDIATE ACCOUNTING 2,4,T R,0900 - 1040 am,Lewis C,2539 (MAIN),14-JAN-13,7,FULL TERM (14-JAN-13 - 10-MAY-13),Main
Lec,False,5815,ACCT,331,MANAGERIAL ACCOUNTING,3,T,0400 - 0645 pm,Lewis C,2539 (MAIN),14-JAN-13,1,FULL TERM (14-JAN-13 - 10-MAY-13),Main
E-C,False,5475,ACCT,353,FED INCOME TAX ACCOUNTING 1,3,,*,Altman J,,14-JAN-13,6,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
E-C,False,5477,ACCT,354,FED INCOME TAX ACCOUNTING 2,3,,*,Altman J,,14-JAN-13,5,FULL TERM (14-JAN-13 - 10-MAY-13),Online or Blended
